"file","profile","type","cand_i","pivotRight","left_index","left_time_local","left_time_utc","left_end_local","left_price","right_index","right_time_local","right_time_utc","right_end_local","right_price","candidate_time_csv","candidate_prevPrice","candidate_currPrice"
"tests/AD/data/BTCUSDT_15m.csv","15m","bull","155","12","143","2026-05-13 13:00:00","2026-05-13 08:00:00","2026-05-13 13:15:00","80199","167","2026-05-13 19:00:00","2026-05-13 14:00:00","2026-05-13 19:15:00","79472.92","2026-05-13 16:00:00","80412.15","78754.65"
"tests/AD/data/BTCUSDT_15m.csv","15m","bull","339","12","327","2026-05-15 11:00:00","2026-05-15 06:00:00","2026-05-15 11:15:00","80590.08","351","2026-05-15 17:00:00","2026-05-15 12:00:00","2026-05-15 17:15:00","79228.26","2026-05-15 14:00:00","80314.0","78659.0"
"tests/AD/data/BTCUSDT_1h.csv","1h","bear","122","16","106","2026-04-30 21:00:00","2026-04-30 16:00:00","2026-04-30 22:00:00","76535.42","138","2026-05-02 05:00:00","2026-05-02 00:00:00","2026-05-02 06:00:00","78235.25","2026-05-01 13:00:00","77904.93","78914.12"
"tests/AD/data/BTCUSDT_4h.csv","4h","bear","322","18","304","2026-04-14 16:00:00","2026-04-14 11:00:00","2026-04-14 20:00:00","75688","340","2026-04-20 16:00:00","2026-04-20 11:00:00","2026-04-20 20:00:00","76486.67","2026-04-17 16:00:00","69310.0","78333.0"
"tests/AD/data/ETHUSDT_15m.csv","15m","bull","305","12","293","2026-05-15 02:30:00","2026-05-14 21:30:00","2026-05-15 02:45:00","2260.45","317","2026-05-15 08:30:00","2026-05-15 03:30:00","2026-05-15 08:45:00","2250","2026-05-15 05:30:00","2288.7","2237.95"
"tests/AD/data/ETHUSDT_15m.csv","15m","bull","420","12","408","2026-05-16 07:15:00","2026-05-16 02:15:00","2026-05-16 07:30:00","2182","432","2026-05-16 13:15:00","2026-05-16 08:15:00","2026-05-16 13:30:00","2172.3","2026-05-16 10:15:00","2215.0","2162.55"
"tests/AD/data/ETHUSDT_1d.csv","1d","bull","67","20","47","2025-02-19 00:00:00","2025-02-18 19:00:00","2025-02-20 00:00:00","2656.03","87","2025-03-31 00:00:00","2025-03-30 19:00:00","2025-04-01 00:00:00","1776.75","2025-03-11","2125.01","1754.28"
"tests/AD/data/ETHUSDT_1h.csv","1h","bull","79","16","63","2026-04-29 02:00:00","2026-04-28 21:00:00","2026-04-29 03:00:00","2284.68","95","2026-04-30 10:00:00","2026-04-30 05:00:00","2026-04-30 11:00:00","2256.78","2026-04-29 18:00:00","2258.24","2220.36"
"tests/AD/data/ETHUSDT_1h.csv","1h","bull","280","16","264","2026-05-07 11:00:00","2026-05-07 06:00:00","2026-05-07 12:00:00","2325.45","296","2026-05-08 19:00:00","2026-05-08 14:00:00","2026-05-08 20:00:00","2312.48","2026-05-08 03:00:00","2297.59","2265.61"
"tests/AD/data/ETHUSDT_1h.csv","1h","bull","389","16","373","2026-05-12 00:00:00","2026-05-11 19:00:00","2026-05-12 01:00:00","2332.13","405","2026-05-13 08:00:00","2026-05-13 03:00:00","2026-05-13 09:00:00","2300.73","2026-05-12 16:00:00","2311.83","2256.27"
"tests/AD/data/ETHUSDT_4h.csv","4h","bear","322","18","304","2026-04-14 16:00:00","2026-04-14 11:00:00","2026-04-14 20:00:00","2371.48","340","2026-04-20 16:00:00","2026-04-20 11:00:00","2026-04-20 20:00:00","2344.19","2026-04-17 16:00:00","2273.87","2464.91"
"tests/AD/data/XAUTUSDT_1h.csv","1h","bear","239","16","223","2026-05-05 18:00:00","2026-05-05 13:00:00","2026-05-05 19:00:00","4557","255","2026-05-07 02:00:00","2026-05-06 21:00:00","2026-05-07 03:00:00","4704.71","2026-05-06 10:00:00","4632.58","4709.98"
